Chinese,Trad.,Pinyin,English Definition
百分之,,bǎi fēn zhī,percent
九十五,,jiǔ shí wǔ,
可笑,,kě xiào,funny; ridiculous
技能,,jì néng,technical ability; skill
超,,chāo,to exceed; to overtake; to surpass; to transcend; to pass; to cross; ultra-; super-
常,,cháng,surname Chang; always; ever; often; frequently; common; general; constant
理来衡,理來衡,lǐ lái héng,
量,,liáng,to measure
跟,,gēn,heel; to follow closely; to go with; (of a woman) to marry sb; with; compared with; to; towards; and (joining two nouns)
原因,,yuán yīn,cause; origin; root cause; reason; Classifiers: 个
重视,重視,zhòng shì,to attach importance to sth; to value
外,,wài,outside; in addition; foreign; external
手,,shǒu,hand; (formal) to hold; person engaged in certain types of work; person skilled in certain types of work; personal(ly); convenient; classifier for skill; Classifiers: 双
演化,,yǎn huà,to evolve; evolution
成功,,chéng gōng,"Chenggong or Chengkung town in Taitung county 台东县 , southeast Taiwan; success; to succeed; Classifiers: 次"
谈何容易,談何容易,tán hé róng yì,easier said than done (idiom)
笑话,笑話,xiào huà,joke; jest; Classifiers: 个 ; to laugh at; to mock
永,,yǒng,forever; always; perpetual
花点钱,花點錢,huā diǎn qián,
技术,技術,jì shù,technology; technique; skill; Classifiers: 门
就学,就學,jiù xué,to attend school
到手,,dào shǒu,to take possession of; to get hold of
可不是,,kě bu shì,that's just the way it is; exactly!
内,內,nèi,inside; inner; internal; within; interior
并且,並且,bìng qiě,and; besides; moreover; furthermore; in addition
追求,,zhuī qiú,to pursue (a goal etc) stubbornly; to seek after; to woo
当,"噹, 當",dāng,(onom.) dong; ding dong (bell); to be; to act as; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at
发财,發財,fā cái,to get rich
颗,顆,kē,"classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc"
矛盾,,máo dùn,contradiction; Classifiers: 个 ; conflicting views; contradictory
七情六欲,,qī qíng liù yù,the seven emotions and six sensory pleasures (idiom)
欲望,慾望,yù wàng,desire; longing; appetite; craving
淡,,dàn,insipid; diluted; weak; mild; light in color; tasteless; fresh; indifferent; nitrogen
争,爭,zhēng,to strive for; to vie for; to argue or debate; deficient or lacking (dialect); how or what (literary)
重心,,zhòng xīn,center of gravity; central core; main part
舍,捨,shě,to give up; to abandon; to give alms; old variant of 舍
吃苦,,chī kǔ,to bear hardships
方面,,fāng miàn,respect; aspect; field; side; Classifiers: 个
方方面面,,fāng fāng miàn miàn,all sides; all aspects; multi-faceted
功力,,gōng lì,merit; efficacy; competence; skill; power
关键,關鍵,guān jiàn,crucial point; crux; Classifiers: 个 ; key; crucial; pivotal
之一,,zhī yī,"one of (sth); one out of a multitude; one (third, quarter, percent etc)"
意识形态,意識形態,yì shí xíng tài,ideology
历来,歷來,lì lái,always; throughout (a period of time); (of) all-time
第一,,dì yī,first; number one; primary
精神,,jīng shén,spirit; mind; consciousness; thought; mental; psychological; essence; gist; Classifiers: 个
议论,議論,yì lùn,to comment; to talk about; to discuss; discussion; Classifiers: 个
争论,爭論,zhēng lùn,to argue; to debate; to contend; argument; contention; controversy; debate; Classifiers: 次
科,,kē,branch of study; administrative section; division; field; branch; stage directions; family (taxonomy); rules; laws; to mete out (punishment); to levy (taxes etc); to fine sb; Classifiers: 个
大脑,大腦,dà nǎo,brain; cerebrum
感觉,感覺,gǎn jué,to feel; to become aware of; feeling; sense; perception; Classifiers: 个
时,時,shí,surname Shi; o'clock; time; when; hour; season; period
体察,體察,tǐ chá,to experience; to observe
弥漫,彌漫,mí màn,"to pervade; to fill the air; diffuse; everywhere present; about to inundate (water); permeated by (smoke); filled with (dust); to saturate (the air with fog, smoke etc)"
灵,靈,líng,quick; alert; efficacious; effective; to come true; spirit; departed soul; coffin
形态,形態,xíng tài,shape; form; pattern; morphology
倒,,dào,to place upside down; to invert; to pour; to throw out; to move backwards; however; actually; as a matter of fact; contrary to expectation
脏,髒,zāng,dirty; filthy
扔掉,,rēng diào,to throw away; to throw out
个例,個例,gè lì,specific example; rare instance
瓶子,,píng zi,bottle; Classifiers: 个
装满,裝滿,zhuāng mǎn,to fill up
盖拧,蓋擰,gài níng,
扔,,rēng,to throw; to throw away
水里,,shuǐ lǐ,"Shuili township in Nantou county 南投县 , central Taiwan"
沉,,chén,to submerge; to immerse; to sink; to keep down; to lower; to drop; deep; profound; heavy
里面,裡面,lǐ miàn,inside; interior
浮起,,fú qǐ,to float; to emerge
浮上,,fú shàng,to float up; to rise to the surface; fig. to rise in the world
咱们,咱們,zá men,see 咱们
说不定,說不定,shuō bu dìng,can't say for sure; maybe
菩萨,菩薩,pú sà,Bodhisattva (Buddhism)
漂亮,,piào liang,pretty; beautiful
邪念,,xié niàn,wicked idea; evil thought; evil desire
妒嫉,,dù jí,to be jealous of (sb's achievements etc); to be envious; envy
只要,,zhǐ yào,if only; so long as
自身,,zì shēn,itself; oneself; one's own
遭,,zāo,"to meet by chance (usually with misfortune); classifier for events: time, turn, incident"
罪,,zuì,guilt; crime; fault; blame; sin
宇,,yǔ,room; universe
宙,,zhòu,eternity; (geology) eon
制约,制約,zhì yuē,to restrict; condition
体外,體外,tǐ wài,outside the body; in vitro
柱,,zhù,pillar; Classifiers: 根
看来,看來,kàn lai,apparently; it seems that
哪里,"哪裏, 哪裡",nǎ lǐ,where?; somewhere; anywhere; wherever; nowhere (negative answer to question); humble expression denying compliment; also written 哪里 ; where?; somewhere; anywhere; wherever; nowhere (negative answer to question); humble expression denying compliment
不该,不該,bù gāi,should not; to owe nothing
重名,,zhòng míng,renowned; a great name
利,,lì,surname Li; sharp; favorable; advantage; benefit; profit; interest; to do good to; to benefit
于是,於是,yú shì,thereupon; as a result; consequently; thus; hence
失去,,shī qù,to lose
注重,,zhù zhòng,to pay attention to; to emphasize
灭,滅,miè,to extinguish or put out; to go out (of a fire etc); to exterminate or wipe out; to drown
分子,,fēn zǐ,molecule; (math) numerator of a fraction
质子,質子,zhì zǐ,proton (positively charged nuclear particle); a prince sent to be held as a hostage in a neighbouring state in ancient China
电子,電子,diàn zǐ,electronic; electron (particle physics)
向下,,xiàng xià,down; downward
直到,,zhí dào,until
夸克,,kuā kè,quark (particle physics)
中微子,,zhōng wēi zǐ,neutrino (particle physics); also written 微中子
显微镜,顯微鏡,xiǎn wēi jìng,microscope; Classifiers: 台
离,,chī,mythical beast (archaic)
本源,,běn yuán,origin; source
差,,chà,to differ from; to fall short of; lacking; wrong; inferior
原子核,,yuán zǐ hé,atomic nucleus
分裂,,fēn liè,to split up; to divide; to break up; fission; schism
撞击,撞擊,zhuàng jī,to strike; to hit; to ram
热量,熱量,rè liàng,heat; quantity of heat; calorific value
聚变,聚變,jù biàn,fusion (physics)
核,覈,hé,pit; stone; nucleus; nuclear; to examine; to check; to verify; variant of 核 ; to investigate
只不过,祇不過,zhǐ bù guò,it's just that ...
最大,,zuì dà,biggest; largest; maximum
脱掉,脫掉,tuō diào,to remove; to take off; to strip off; to discard; to shed; to come off; to fall off
毁掉,毀掉,huǐ diào,to destroy
什么样,甚麼樣,shén me yàng,what kind?; what sort?; what appearance?
运,運,yùn,to move; to transport; to use; to apply; fortune; luck; fate
那儿,那兒,nà r,there
细胞,細胞,xì bāo,cell (biology)
松散,鬆散,sōng san,to relax; loose; not consolidated; not rigorous
沙子,,shā zi,sand; grit; Classifiers: 粒
组成,組成,zǔ chéng,to form; to make up; to constitute
眼睛,,yǎn jing,eye; Classifiers: 只
双,雙,shuāng,surname Shuang; two; double; pair; both; even (number)
放大,,fàng dà,to enlarge; to magnify
回,迴,huí,to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book); to curve; to return; to revolve
说说,說說,shuō shuo,to say sth
之间,之間,zhī jiān,between; among; inter-
连带,連帶,lián dài,to be related; to entail; to involve; joint (liability etc)
剖析,,pōu xī,to analyze; to dissect
来讲,來講,lái jiǎng,as to; considering; for
肉体,肉體,ròu tǐ,physical body
假如,,jiǎ rú,if
体验,體驗,tǐ yàn,to experience for oneself
现,現,xiàn,to appear; present; now; existing; current
概念,,gài niàn,concept; idea; Classifiers: 个
可大可,,kě dà kě,
那时,那時,nà shí,then; at that time; in those days
无比,無比,wú bǐ,incomparable; matchless
广阔,廣闊,guǎng kuò,wide; vast
特定,,tè dìng,special; specific; designated; particular
场,場,cháng,"threshing floor; classifier for events and happenings: spell, episode, bout"
白色,,bái sè,white; fig. reactionary; anti-communist
认,認,rèn,to recognize; to know; to admit
为的是,為的是,wèi de shì,for the sake of; for the purpose of
老人,,lǎo rén,old man or woman; the elderly; one's aged parents or grandparents
积德,積德,jī dé,to accumulate merit; to do good; to give to charity; virtuous actions
呀,,ya,"(particle equivalent to 啊  after a vowel, expressing surprise or doubt)"
损,損,sǔn,to decrease; to lose; to damage; to harm; (coll.) to speak sarcastically; to deride; caustic; mean; one of the 64 trigrams of the Book of Changes (old)
话说,話說,huà shuō,It is said that ... (at the start of a narrative); to discuss; to recount
对了,對了,duì le,"Correct!; Oh, that's right, ... (when one suddenly remembers sth one wanted to mention); Oh, by the way, ..."
师父,師父,shī fu,used for 师傅  (in Taiwan); master; qualified worker
徒弟,,tú dì,apprentice; disciple
不大,,bù dà,not very; not too; not often
高功,,gāo gōng,
黑色,,hēi sè,black
作业,作業,zuò yè,school assignment; homework; work; task; operation; Classifiers: 个 ; to operate
恶,惡,è,evil; fierce; vicious; ugly; coarse; to harm
承受,,chéng shòu,to bear; to support; to inherit
欺负,欺負,qī fu,to bully
钱,錢,qián,surname Qian; coin; money; Classifiers: 笔
杀人,殺人,shā rén,homicide; to murder; to kill (a person)
害命,,hài mìng,to kill sb; to murder
用钱,用錢,yòng qian,variant of 佣钱
买,買,mǎi,to buy; to purchase
命,,mìng,"life; fate; order or command; to assign a name, title etc"
同性恋,同性戀,tóng xìng liàn,homosexuality; gay person; gay love
吸毒,,xī dú,to take drugs
骂,罵,mà,to scold; to abuse; to curse; Classifiers: 通
占,,zhàn,to take possession of; to occupy; to take up
便宜,,pián yi,cheap; inexpensive; small advantages; to let sb off lightly
失,,shī,to lose; to miss; to fail
得失,,dé shī,gains and losses; success and failure; merits and demerits
强制,強制,qiáng zhì,to enforce; enforcement; forcibly; compulsory
光,,guāng,light; ray; Classifiers: 道 ; bright; only; merely; to use up
对方,對方,duì fāng,counterpart; other person involved; opposite side; other side; receiving party
委屈,,wěi qu,to feel wronged; to cause sb to feel wronged; grievance
一方,,yī fāng,a party (in a contract or legal case); one side; area; region
遭受,,zāo shòu,"to suffer; to sustain (loss, misfortune)"
痛苦,,tòng kǔ,pain; suffering; painful; Classifiers: 个
补偿,補償,bǔ cháng,to compensate; to make up
这边,這邊,zhè biān,this side; here
随着,隨著,suí zhe,along with; in the wake of; following
范围,範圍,fàn wéi,range; scope; limit; extent; Classifiers: 个
之内,之內,zhī nèi,inside; within
飞,飛,fēi,to fly
重,,zhòng,heavy; serious; to attach importance to
拳,,quán,fist; boxing
踢,,tī,to kick; to play (e.g. soccer)
随之,隨之,suí zhī,thereupon; subsequently; accordingly
打的,,dǎ dī,(coll.) to take a taxi; to go by taxi
多重,,duō chóng,"multi- (faceted, cultural, ethnic etc)"
受,,shòu,to receive; to accept; to suffer; subjected to; to bear; to stand; pleasant; (passive marker)
受不了,,shòu bù liǎo,unbearable; unable to endure; can't stand
啪,,pā,(onom.) bang; pop; pow
回去,,huí qu,to return; to go back
俩,倆,liǎ,two (colloquial equivalent of 两个 ); both; some
要不,,yào bù,otherwise; or else; how about...?; either... (or...)
口气,口氣,kǒu qì,tone of voice; the way one speaks; manner of expression; tone
今生,,jīn shēng,this life
世,,shì,surname Shi; life; age; generation; era; world; lifetime; epoch; descendant; noble
德大,,dé dà,
官,,guān,government official; governmental; official; public; organ of the body; Classifiers: 个 ; government official; governmental; official; public; organ of the body; Classifiers: 个
财,財,cái,money; wealth; riches; property; valuables
交换,交換,jiāo huàn,to exchange; to swap; to switch (telecom); commutative (math); to commute
形神,,xíng shén,body and soul; physical and spiritual; material form and internal spirit
全,,quán,surname Quan; all; whole; entire; every; complete
百年,,bǎi nián,hundred years; century; lifetime
安鼎设,安鼎設,Ān dǐng shè,
炉,爐,lú,stove; furnace
采,採,cǎi,to pick; to pluck; to collect; to select; to choose; to gather; color; complexion; looks; variant of 彩
药,"葯, 藥",yào,"leaf of the iris; variant of 药 ; medicine; drug; substance used for a specific purpose (e.g. poisoning, explosion, fermenting); Classifiers: 种 ; to poison"
炼丹,煉丹,liàn dān,to concoct pills of immortality
意念,,yì niàn,idea; thought
活动,活動,huó dòng,to exercise; to move about; to operate; to use connections (personal influence); loose; shaky; active; movable; activity; campaign; maneuver; behavior; Classifiers: 项
重要,,zhòng yào,important; significant; major
玄妙,,xuán miào,mysterious; profound; abstruse
生成,,shēng chéng,to generate; to produce; generated; produced
高低,,gāo dī,"height; altitude (aviation); pitch (music); ups and downs (success or failure); whether sth is right or wrong; comparative strength, weight, depth, stature; (spoken interjection) anyway, whatever; eventually, in the end"
螺旋,,luó xuán,spiral; helix; screw
式,,shì,type; form; pattern; style
向上,,xiàng shàng,upward; up; to advance; to try to improve oneself; to make progress
决定,決定,jué dìng,to decide (to do something); to resolve; decision; Classifiers: 个 ; certainly
头顶,頭頂,tóu dǐng,top of the head
根,,gēn,"root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; Classifiers: 条 ; radical (chemistry)"
一眼,,yī yǎn,a glance; a quick look; a glimpse
高上,,gāo shàng,
位,,wèi,position; location; place; seat; classifier for people (honorific); classifier for binary bits (e.g. 十六位  16-bit or 2 bytes)
尺度,,chǐ dù,scale; yardstick
之中,,zhī zhōng,inside; among; in the midst of (doing sth); during
吱声,吱聲,zhī shēng,to utter a word; to make a sound; to cheep; to squeak; also pr. [zi1 sheng1]
心里,心裡,xīn li,chest; heart; mind
坦然,,tǎn rán,calm; undisturbed
一笑了之,,yī xiào liǎo zhī,to laugh away (instead of taking seriously)
人心,,rén xīn,popular feeling; the will of the people
应得,應得,yīng dé,to deserve
高功多,,gāo gōng duō,
公园,公園,gōng yuán,park (for public recreation); Classifiers: 个
家里,家裡,jiā lǐ,home
用心,,yòng xīn,motive; intention; to be diligent or attentive; careful
虔诚,虔誠,qián chéng,pious; devout; sincere
不错,不錯,bù cuò,correct; right; not bad; pretty good
我行我素,,wǒ xíng wǒ sù,to continue in one's own way (idiom)
名,,míng,name; noun (part of speech); place (e.g. among winners); famous; classifier for people
利跟,,lì gēn,
好不,,hǎo bù,not at all ...; how very ...
长期,長期,cháng qī,long term; long time; long range (of a forecast)
体操,體操,tǐ cāo,gymnastic; gymnastics
储存,儲存,chǔ cún,stockpile; to store; to stockpile; storage
能量,,néng liàng,energy; capabilities
术,術,shù,method; technique
类,類,lèi,kind; type; class; category; similar; like; to resemble
大部,,dà bù,most of; the majority of sth
锁,鎖,suǒ,to lock up; to lock; lock; Classifiers: 把
运用,運用,yùn yòng,to use; to put to use
里边,裡邊,lǐ bian,inside
本事,,běn shì,source material; original story
都来,都來,dōu lái,
赦,,shè,to pardon (a convict)
显示,顯示,xiǎn shì,to show; to illustrate; to display; to demonstrate
本质,本質,běn zhì,essence; nature; innate character; intrinsic quality
白修,,bái xiū,
炸弹,炸彈,zhà dàn,bomb; Classifiers: 枚
窍,竅,qiào,hole; opening; orifice (of the human body); (fig.) key (to the solution of a problem)
炸,,zhá,to deep fry
震,,zhèn,"to shake; to vibrate; to jolt; to quake; excited; shocked; one of the Eight Trigrams 八卦 , symbolizing thunder; ☳"
火化,,huǒ huà,to cremate; to incinerate
舍利子,,shè lì zi,ashes after cremation; Buddhist relics (Sanskirt: sarira)
骨头,骨頭,gǔ tou,bone; Classifiers: 根 ; moral character; bitterness
牙,,yá,tooth; ivory; Classifiers: 颗
释放,釋放,shì fàng,to release; to set free; to liberate (a prisoner); to discharge
本身,,běn shēn,itself; in itself; per se
大量,,dà liàng,great amount; large quantity; bulk; numerous; generous; magnanimous
毕竟,畢竟,bì jìng,after all; all in all; when all is said and done; in the final analysis
看成,,kàn chéng,to regard as
光泽,光澤,guāng zé,Guangze county in Nanping 南平 Fujian; luster; gloss
坚硬,堅硬,jiān yìng,hard; solid
刚才,"剛才, 剛纔",gāng cái,just now; a moment ago; (just) a moment ago
有用,,yǒu yòng,useful
读,讀,dú,"to read; to study; reading of word (i.e. pronunciation), similar to 拼音"
没用,沒用,méi yòng,useless
反而,,fǎn ér,instead; on the contrary; contrary (to expectations)
糟,,zāo,dregs; draff; pickled in wine; rotten; messy; ruined
高层,高層,gāo céng,high level; high class
结合,結合,jié hé,to combine; to link; to integrate; binding; Classifiers: 次
今,,jīn,today; modern; present; current; this; now
书,書,shū,abbr. for 书经 ; book; letter; document; Classifiers: 本 ; to write
录音带,錄音帶,lù yīn dài,audio tape; Classifiers: 盘
录像带,錄像帶,lù xiàng dài,video cassette; Classifiers: 盘
遍,,biàn,everywhere; all over; classifier for actions: one time
隔,,gé,to separate; to partition; to stand or lie between; at a distance from; after or at an interval of
以上,,yǐ shàng,that level or higher; that amount or more; the above-mentioned
特点,特點,tè diǎn,characteristic (feature); trait; feature; Classifiers: 个
从来,從來,cóng lái,always; at all times; never (if used in negative sentence)
广泛,廣泛,guǎng fàn,extensive; wide range
度过,度過,dù guò,to pass; to spend (time); to survive; to get through
洪,,hóng,surname Hong; flood; big; great
极其,極其,jí qí,extremely
靠,,kào,to lean against or on; to stand by the side of; to come near to; to depend on; to trust; to fuck (vulgar); traditional military costume drama where the performers wear armor (old)
首先,,shǒu xiān,first (of all); in the first place
念经,念經,niàn jīng,to recite or chant Buddhist scripture
本体,本體,běn tǐ,main part; torso; the thing in itself; noumenon (object of purely intellectual perception according to Kant)
形体,形體,xíng tǐ,figure; physique; form and structure
动作,動作,dòng zuò,movement; motion; action; Classifiers: 个
普度众生,普度眾生,pǔ dù zhòng shēng,(Buddhism) to deliver all living creatures from suffering (idiom)
面对,面對,miàn duì,to confront; to face
选,選,xuǎn,to choose; to pick; to select; to elect
其中,,qí zhōng,among; in; included among these
神通,,shén tōng,remarkable ability; magical power
性命,,xìng mìng,life
加,,jiā,"abbr. for Canada 加拿大 ; surname Jia; to add; plus; (used after an adverb such as 不 , 大 , 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned); to apply (restrictions etc) to (sb); to give (support, consideration etc) to (sth)"
持,,chí,to hold; to grasp; to support; to maintain; to persevere; to manage; to run (i.e. administer); to control
强大,強大,qiáng dà,large; formidable; powerful; strong
加强,加強,jiā qiáng,to reinforce; to strengthen; to increase
强,強,jiàng,stubborn; unyielding
另一方面,,lìng yī fāng miàn,on the other hand; another aspect
元,,yuán,surname Yuan; the Yuan or Mongol dynasty (1279-1368); currency unit (esp. Chinese yuan); first; original; primary; fundamental; constituent; part; era (of a reign); (math.) argument; variable; (Tw) (geology) eon
婴,嬰,yīng,infant; baby
东,東,dōng,surname Dong; east; host (i.e. sitting on east side of guest); landlord
西都,,xī dōu,
演,,yǎn,to develop; to evolve; to practice; to perform; to play; to act
微观,微觀,wēi guān,micro-; sub-atomic
密度,,mì dù,density; thickness
威力,,wēi lì,might; formidable power
灵性,靈性,líng xìng,spiritual nature; spirituality; intelligence (esp. in animals)
久而久之,,jiǔ ér jiǔ zhī,over time; as time passes; in the fullness of time
排列,,pái liè,array; arrangement; permutation (i.e. ordered choice of n elements out of m)
程序,,chéng xù,procedures; sequence; order; computer program
原有,,yuán yǒu,original; former
结束,結束,jié shù,termination; to finish; to end; to conclude; to close
表面,,biǎo miàn,surface; face; outside; appearance
区别,區別,qū bié,difference; to distinguish; to discriminate; to make a distinction; Classifiers: 个
同龄人,同齡人,tóng líng rén,peer; one's contemporary; person of the same age
显,顯,xiǎn,prominent; conspicuous; (prefix) phanero-
年轻,年輕,nián qīng,young
疾病,,jí bìng,disease; sickness; ailment
病人,,bìng rén,sick person; patient; invalid; Classifiers: 个
班,,bān,surname Ban; team; class; squad; work shift; ranking; Classifiers: 个 ; classifier for groups
因,,yīn,cause; reason; because
得了,,dé le,all right!; that's enough!
重病,,zhòng bìng,serious illness
难受,難受,nán shòu,to feel unwell; to suffer pain; to be difficult to bear
一再,,yī zài,repeatedly
收,,shōu,to receive; to accept; to collect; to put away; to restrain; to stop; in care of (used on address line after name)
情,,qíng,feeling; emotion; passion; situation
改观,改觀,gǎi guān,change of appearance; to revise one's point of view
皮肤,皮膚,pí fū,skin; Classifiers: 层
细嫩,細嫩,xì nèn,tender
白里透,白裡透,bái lǐ tòu,
红,紅,hóng,surname Hong; red; popular; revolutionary; bonus
年岁,年歲,nián suì,years of age; age
皱纹,皺紋,zhòu wén,wrinkle; Classifiers: 道
减少,減少,jiǎn shǎo,to lessen; to decrease; to reduce; to lower
很少,,hěn shǎo,very little; seldom
普遍,,pǔ biàn,universal; general; widespread; common
玄,,xuán,black; mysterious
在座,,zài zuò,to be present
老年,,lǎo nián,elderly; old age; autumn of one's years
妇女,婦女,fù nǚ,woman
例假,,lì jià,legal holiday; menstrual period
血,,xuè,"blood; colloquial pr. [xie3]; Classifiers: 滴 [di1],片 [pian4]"
现阶段,現階段,xiàn jiē duàn,at the present stage
够,夠,gòu,enough (sufficient); enough (too much); (coll.) (before adj.) really; (coll.) to reach by stretching out
缺少,,quē shǎo,lack; shortage of; shortfall; to be short (of); to lack
男子,,nán zǐ,a man; a male
青年,,qīng nián,youth; youthful years; young person; the young
一身,,yī shēn,whole body; from head to toe; single person; a suit of clothes
轻,輕,qīng,light; easy; gentle; soft; reckless; unimportant; frivolous; small in number; unstressed; neutral; to disparage
老子,,lǎo zǐ,"Laozi or Lao-tze (c. 500 BC), Chinese philosopher, the founder of Taoism; the sacred book of Daoism, 道德经 by Laozi"
原理,,yuán lǐ,principle; theory
做到,,zuò dào,to accomplish; to achieve
小腹,,xiǎo fù,underbelly; lower abdomen
部位,,bù wèi,position; place
学习,學習,xué xí,to learn; to study
班上,,bān shàng,(in the) class
亲,親,qīn,parent; one's own (flesh and blood); relative; related; marriage; bride; close; intimate; in person; first-hand; in favor of; pro-; to kiss; (Internet slang) dear
自给,自給,zì jǐ,self-reliant
陆陆续续,陸陸續續,lù lù xù xù,in succession; one after another; continuously
大多数,大多數,dà duō shù,(great) majority
缩影,縮影,suō yǐng,miniature version of sth; microcosm; epitome; (Tw) to microfilm
具备,具備,jù bèi,to possess; to have; equipped with; able to fulfill (conditions or requirements)
自动,自動,zì dòng,automatic; voluntarily
旋转,旋轉,xuán zhuǎn,to rotate; to revolve; to spin; to whirl
一旦,,yī dàn,"in case (sth happens); if; once (sth happens, then...); when; in a short time; in one day"
停,,tíng,to stop; to halt; to park (a car)
常年,,cháng nián,all year round; for years on end; average year
吸取,,xī qǔ,"to absorb; to draw (a lesson, insight etc); to assimilate"
供给,供給,gōng jǐ,to furnish; to provide; supply (as in supply and demand)
化,,huà,to make into; to change into; -ization; to ... -ize; to transform; abbr. for 化学
反,,fǎn,contrary; in reverse; inside out or upside down; to reverse; to return; to oppose; opposite; against; anti-; to rebel; to use analogy; instead; abbr. for 反切 phonetic system
时针,時針,shí zhēn,hand of a clock; hour hand
发放,發放,fā fàng,to provide; to give; to grant
废弃,廢棄,fèi qì,to discard; to abandon (old ways); to invalidate
散,,sǎn,scattered; loose; to come loose; to fall apart; leisurely; powdered medicine
受益,,shòu yì,to benefit from; profit
己,,jǐ,"self; oneself; sixth of the ten Heavenly Stems 十天干 ; sixth in order; letter ""F"" or roman ""VI"" in list ""A, B, C"", or ""I, II, III"" etc; hexa"
跟着,跟著,gēn zhe,to follow after; immediately afterwards
无意,無意,wú yì,inadvertent; accidental; to have no intention of (doing sth)
丢,丟,diū,to lose; to put aside; to throw
顺,順,shùn,to obey; to follow; to arrange; to make reasonable; along; favorable
回收,,huí shōu,to recycle; to reclaim; to retrieve; to recover; to recall (a defective product)
常转,常轉,cháng zhuàn,
聚集,,jù jí,to assemble; to gather
星系,,xīng xì,see 恒星系
行星,,xíng xīng,planet; Classifiers: 颗
围绕,圍繞,wéi rào,to revolve around; to center on (an issue)
太阳,太陽,tài yang,sun; Classifiers: 个
自转,自轉,zì zhuàn,rotation
旋,,xuán,to revolve; a loop; a circle
机,機,jī,surname Ji; machine; engine; opportunity; intention; aircraft; pivot; crucial point; flexible (quick-witted); organic; Classifiers: 台
正常,,zhèng cháng,regular; normal; ordinary
不停,,bù tíng,incessant
上班,,shàng bān,to go to work; to be on duty; to start work; to go to the office
机能,機能,jī néng,function
机制,"機制, 機製",jī zhì,mechanism; machine processed; machine made; mechanism
吃饭,吃飯,chī fàn,to have a meal; to eat; to make a living
睡觉,睡覺,shuì jiào,to go to bed; to sleep
和气,和氣,hé qi,friendly; polite; amiable
无为,無為,wú wéi,"Wuwei county in Chaohu 巢湖 , Anhui; the Daoist doctrine of inaction; let things take their own course; laissez-faire"
随机,隨機,suí jī,according to the situation; pragmatic; random
导引,導引,dǎo yǐn,"same as 引导 ; Dao Yin, Daoist exercises involving breathing, stretching and self-massage"
呼吸,,hū xī,to breathe
地点,地點,dì diǎn,place; site; location; venue; Classifiers: 个
子时,子時,zǐ shí,11 pm-1 am (in the system of two-hour subdivisions used in former times)
辰时,辰時,chén shí,7-9 am (in the system of two-hour subdivisions used in former times)
午时,午時,wǔ shí,11 am-1 pm (in the system of two-hour subdivisions used in former times)
时辰,時辰,shí chen,time; one of the 12 two-hour periods of the day
走路,,zǒu lù,to walk; to go on foot
大大,,dà dà,greatly; enormously; (dialect) dad; uncle
缩短,縮短,suō duǎn,to curtail; to cut down
圆满,圓滿,yuán mǎn,satisfactory; consummate; perfect
年龄,年齡,nián líng,(a person's) age; Classifiers: 把
有限,,yǒu xiàn,limited; finite
延长,延長,yán cháng,"Yanchang county in Yan'an 延安 , Shaanxi; to prolong; to extend; to delay"
延,,yán,surname Yan; to prolong; to extend; to delay
根基,,gēn jī,foundation
延续,延續,yán xù,to continue; to go on; to last
功用,,gōng yòng,function
稍微,,shāo wēi,a little bit
偏差,,piān chā,bias; deviation
危险,危險,wēi xiǎn,danger; dangerous
早就,,zǎo jiù,already at an earlier time
除非,,chú fēi,"only if (..., or otherwise, ...); only when; only in the case that; unless"
控制,,kòng zhì,control; to exercise control over; to contain
方位,,fāng wèi,direction; points of the compass; bearing; position; azimuth
法轮常转,法輪常轉,fǎ lún cháng zhuàn,the Wheel turns constantly (idiom); Buddhist teaching will overcome everything
来电,來電,lái diàn,"incoming telegram or telephone call; your telegram, telephone call, or message; to send a telegram or make a telephone call here (i.e. to the speaker); to have instant attraction to sb; to have chemistry with sb; to come back (of electricity, after an outage)"
敲门,敲門,qiāo mén,to knock on a door
立刻,,lì kè,forthwith; immediate; prompt; promptly; straightway; thereupon; at once
办事,辦事,bàn shì,to handle (affairs); to work
马上,馬上,mǎ shàng,at once; right away; immediately; on horseback (i.e. by military force)
散射,,sǎn shè,scattering
吸收,,xī shōu,to absorb; to assimilate; to ingest; to recruit
回来,回來,huí lai,to return; to come back
人为,人為,rén wéi,artificial; man-made; having human cause or origin; human attempt or effort
捧,,pěng,to clasp; to cup the hands; to hold up with both hands; to offer (esp. in cupped hands); to praise; to flatter
东南西北,東南西北,dōng nán xī běi,"east, south, west and north; all directions"
全方位,,quán fāng wèi,all around; omni-directional; complete; holistic; comprehensive
法会,法會,fǎ huì,(Buddhist) religious assembly
保护,保護,bǎo hù,to protect; to defend; to safeguard; protection; Classifiers: 种
保,,bǎo,Bulgaria; Bulgarian; abbr. for 保加利亚 ; to defend; to protect; to keep; to guarantee; to ensure
护,護,hù,to protect
根都,,gēn dōu,
扎,紮,zā,"to tie; to bind; classifier for flowers, banknotes etc: bundle; Taiwan pr. [zha2]"
说白了,說白了,shuō bái le,to speak frankly
